"","STATEFIP","Freq"
"1","Alabama",3945600
"2","Alaska",412200
"3","Arizona",2726000
"4","Arkansas",2275000
"5","California",23750400
"6","Colorado",2883600
"7","Connecticut",3107600
"8","Delaware",600600
"9","District of Columbia",637600
"10","Florida",9821400
"11","Georgia",5496800
"12","Hawaii",971000
"13","Idaho",928400
"14","Illinois",11370200
"15","Indiana",5514000
"16","Iowa",2919200
"17","Kansas",2346800
"18","Kentucky",3658400
"19","Louisiana",4212800
"20","Maine",1146800
"21","Maryland",4200200
"22","Massachusetts",5712400
"23","Michigan",9234800
"24","Minnesota",4057000
"25","Mississippi",2526000
"26","Missouri",4889000
"27","Montana",781600
"28","Nebraska",1583200
"29","Nevada",805600
"30","New Hampshire",904000
"31","New Jersey",7356000
"32","New Mexico",1305200
"33","New York",17612400
"34","North Carolina",5899000
"35","North Dakota",652600
"36","Ohio",10758800
"37","Oklahoma",3026200
"38","Oregon",2653000
"39","Pennsylvania",11959600
"40","Rhode Island",948000
"41","South Carolina",3114000
"42","South Dakota",698400
"43","Tennessee",4604800
"44","Texas",14334200
"45","Utah",1495000
"46","Vermont",509200
"47","Virginia",5419200
"48","Washington",4147600
"49","West Virginia",1939600
"50","Wisconsin",4739400
"51","Wyoming",472600
