"","Spanish","French","German","Italian","Polish","Chinese","Filipino, Tagalog","Japanese","Greek","American Indian (all)","Portuguese","Korean","Other or not reported","Hindi and related","Yiddish, Jewish","Arabic","Vietnamese","Czech","Serbo-Croatian, Yugoslavian, Slavonian","Magyar, Hungarian","Russian","Dutch","Norwegian","Persian, Iranian, Farsi","Slovak","Armenian","Swedish","Hebrew, Israeli","Thai, Siamese, Lao","Finnish","Lithuanian","Ukrainian, Ruthenian, Little Russian","Sub-Saharan Africa","Micronesian, Polynesian","Dravidian","Danish","Turkish","Celtic","Rumanian","Slovene","Other Malayan","Indonesian","Albanian","Amharic, Ethiopian, etc","Hawaiian","Tibetan","Other Balto-Slavic","Near East Arabic dialect","Other East/Southeast Asian","Icelandic","African, n.s","Hamitic","Burmese, Lisu, Lolo","Basque","Other Altaic","Romany, Gypsy","Other Persian dialects","Kurukh","Uralic","Caucasian, Georgian, Avar","Burushaski","English","N/A or blank"
"New England Division",134400,317800,27800,137400,71200,18600,3200,3200,30000,2800,106800,4000,9800,4000,6600,9000,2200,1400,1600,7200,2400,5200,1200,4200,2200,8800,5400,6200,1200,4200,13800,2600,1600,600,1800,1600,1200,1800,1200,400,800,400,2400,200,200,200,0,200,0,200,200,0,0,0,400,0,0,200,0,0,0,0,0
"Middle Atlantic Division",1154200,146200,175200,502400,227200,89800,34000,20800,71000,6000,32800,32800,27200,44200,90400,30600,8600,12400,30600,31600,39400,9600,5400,5800,34600,10000,6400,28000,7800,2400,13000,26800,9000,1200,9400,3200,8600,4800,3400,2400,800,1600,3600,400,600,1000,2000,600,200,600,1000,800,0,0,0,600,200,0,0,200,0,0,0
"East North Central Div",468800,81800,216000,121400,221200,30000,32000,14400,52000,8000,2600,23800,33400,34600,13800,33800,5400,19600,39400,24800,14000,18000,11600,10200,22000,3800,11200,4000,9000,17000,12200,9800,5600,1200,5200,3200,2400,2200,5600,6000,1600,1800,1800,4000,400,2000,4000,2200,800,600,600,400,0,0,400,800,0,0,200,200,0,0,0
"West North Central Div",97400,29600,169800,17400,13400,10800,5000,6000,3200,18800,1200,6200,11400,7800,1800,5400,9400,26000,4200,1600,2200,8400,41400,5400,800,200,17200,1000,3200,13200,1000,400,3000,600,2400,4200,200,1200,0,200,400,800,0,400,0,400,0,0,0,600,800,0,200,0,400,0,200,0,0,0,0,0,0
"South Atlantic Division",622800,140400,93600,71600,29800,26000,27600,9800,29200,6200,9400,28000,32600,20200,25400,15400,12600,3600,4200,9400,6000,7600,2200,10800,3400,3800,4200,5600,6600,3200,3200,2800,6200,2200,2400,2400,2200,2800,800,800,0,400,200,1200,0,600,0,200,600,400,200,800,800,0,0,0,1000,400,0,0,0,0,0
"East South Central Div",51200,31000,25600,5800,1400,3000,2400,2800,3000,4000,400,5200,10000,3400,400,3400,4400,0,400,600,400,1400,0,2000,600,400,200,800,1600,0,400,0,800,400,200,0,600,400,0,200,400,200,0,0,200,200,400,0,0,0,0,0,0,0,200,0,200,0,0,0,0,0,0
"West South Central Div",1452800,295800,86200,18400,13600,18200,11800,7600,6800,23200,2600,15400,22800,15600,1200,11800,20400,26000,1200,2000,2800,6800,600,9200,200,1400,1400,1000,4200,0,800,1200,5600,400,2000,1000,1000,1400,600,0,600,600,0,0,0,1200,0,800,600,400,600,200,0,0,200,0,0,0,0,200,0,0,0
"Mountain Division",660400,30400,52000,18400,6200,9400,4200,9200,6400,119000,3400,6400,6800,2800,2000,5200,4600,2600,4400,3000,2800,3800,3800,3400,600,400,3400,1800,1600,2200,1600,1000,800,3200,400,1400,600,400,0,200,200,1000,0,400,400,400,0,0,0,400,400,0,0,1200,200,0,0,0,200,0,0,0,0
"Pacific Division",1795400,88600,138800,88600,15600,179200,211600,163400,26400,33600,47200,76200,24400,32800,14000,30600,42800,7000,11000,10600,16200,22600,13000,26600,1400,35800,11400,11400,18400,10200,2000,3000,5600,25200,3400,7000,2800,1000,2200,800,4000,1400,200,1400,6000,1200,400,2400,3400,1400,200,1000,2000,1600,400,800,200,800,400,0,0,0,0
